2.459999755859375000e+03,9.114924489600075919e-04
2.460500000000000000e+03,-1.723241782495126342e-03
2.461000000000000000e+03,-2.833650738539355163e-03
2.461500000000000000e+03,-1.099695225271655639e-03
2.462000000000000000e+03,-2.582376642090620199e-04
2.462500000000000000e+03,-8.171127965722450610e-04
2.463000000000000000e+03,-4.885197343851516247e-04
2.463500000000000000e+03,-4.225287738600800517e-04
2.464000000000000000e+03,1.000323887431887535e-03
2.464500000000000000e+03,1.634216529545045801e-03
2.465000000000000000e+03,5.008446298355346236e-03
2.465500000000000000e+03,5.756180592236236244e-03
2.466000000000000000e+03,7.092205531676065884e-03
2.466500000000000000e+03,9.205622204795630217e-03
2.467000000000000000e+03,1.068804497899315462e-02
2.467500000000000000e+03,1.255056876892191205e-02
2.468000000000000000e+03,1.614288915393860546e-02
2.468500000000000000e+03,2.060079401698889159e-02
2.469000000000000000e+03,2.681412229736261990e-02
2.469100097656250000e+03,3.011557623024692376e-02
2.469200195312500000e+03,3.122791698932120968e-02
2.469300292968750000e+03,3.397623793568876893e-02
2.469400146484375000e+03,3.699022568489122864e-02
2.469500244140625000e+03,4.192082138821200815e-02
2.469600097656250000e+03,4.444388372017019778e-02
2.469700195312500000e+03,4.537113099723612264e-02
2.469800048828125000e+03,4.932805650712302620e-02
2.469900146484375000e+03,5.330678286337218325e-02
2.470000244140625000e+03,5.361331138053327533e-02
2.470100341796875000e+03,5.557569840439470499e-02
2.470200195312500000e+03,5.740243297587807603e-02
2.470300292968750000e+03,6.256602627752418100e-02
2.470400146484375000e+03,6.227368898927228280e-02
2.470500244140625000e+03,6.502420674528447408e-02
2.470600097656250000e+03,6.934229817288668773e-02
2.470700195312500000e+03,7.266909147040052919e-02
2.470800292968750000e+03,7.697319405597317921e-02
2.470900146484375000e+03,7.773534796116070289e-02
2.471000244140625000e+03,8.478038448439084718e-02
2.471100097656250000e+03,9.064844681147810057e-02
2.471200195312500000e+03,9.863491269046945065e-02
2.471300292968750000e+03,1.054300767403179850e-01
2.471400146484375000e+03,1.187654064345726040e-01
2.471500244140625000e+03,1.294521678492637495e-01
2.471600341796875000e+03,1.408541509085864951e-01
2.471700195312500000e+03,1.600159180685057636e-01
2.471800292968750000e+03,1.777480961492053368e-01
2.471900146484375000e+03,1.977545962686775571e-01
2.472000244140625000e+03,2.275827250469965035e-01
2.472100097656250000e+03,2.551693224390539916e-01
2.472200195312500000e+03,2.917628211379221237e-01
2.472300292968750000e+03,3.319118988737831955e-01
2.472400146484375000e+03,3.780320034714528266e-01
2.472500244140625000e+03,4.331643720502160178e-01
2.472600097656250000e+03,5.003617173401192497e-01
2.472700195312500000e+03,5.802122291863669457e-01
2.472800292968750000e+03,6.767126158988382434e-01
2.472900146484375000e+03,7.956150709622404893e-01
2.473000244140625000e+03,9.399763814472642531e-01
