2.459999755859375000e+03,5.410181920768440678e-03
2.460500000000000000e+03,2.283022022551934715e-03
2.461000000000000000e+03,-7.960864769331871108e-05
2.461500000000000000e+03,-1.218012780348613072e-03
2.462000000000000000e+03,-4.023181173193498655e-05
2.462500000000000000e+03,-3.235732254019347610e-06
2.463000000000000000e+03,1.110515383150923629e-04
2.463500000000000000e+03,-6.134616187512994786e-04
2.464000000000000000e+03,-3.163703891380252511e-04
2.464500000000000000e+03,-9.627448571153638963e-04
2.465000000000000000e+03,8.395922761673102735e-04
2.465500000000000000e+03,1.387306488307530521e-03
2.466000000000000000e+03,2.479037941285470049e-03
2.466500000000000000e+03,3.294677724080502350e-03
2.467000000000000000e+03,8.011354000339792475e-03
2.467500000000000000e+03,9.212908356447219518e-03
2.468000000000000000e+03,1.160179264856639816e-02
2.468500000000000000e+03,1.553108403667852709e-02
2.469000000000000000e+03,2.181115253790470720e-02
2.469100097656250000e+03,2.230306569793862048e-02
2.469200195312500000e+03,2.479867154710578211e-02
2.469300292968750000e+03,2.610944098216485751e-02
2.469400146484375000e+03,2.688395730779770051e-02
2.469500244140625000e+03,2.743174908272110607e-02
2.469600097656250000e+03,2.979779632632982220e-02
2.469700195312500000e+03,3.241818544491184562e-02
2.469800048828125000e+03,3.287439617768363881e-02
2.469899902343750000e+03,3.470713823643856860e-02
2.470000244140625000e+03,3.848343928635566263e-02
2.470100341796875000e+03,4.129671908537467517e-02
2.470200195312500000e+03,4.292735104676290159e-02
2.470300292968750000e+03,4.580581173083200092e-02
2.470400146484375000e+03,4.827665990605690266e-02
2.470500244140625000e+03,5.198691013207087236e-02
2.470600097656250000e+03,5.529985454867675926e-02
2.470700195312500000e+03,6.086666011684796485e-02
2.470800292968750000e+03,6.744708074560595845e-02
2.470900146484375000e+03,7.106116183183182333e-02
2.471000244140625000e+03,7.853417369011189697e-02
2.471100097656250000e+03,8.640362453713272550e-02
2.471200195312500000e+03,9.295027222887140839e-02
2.471300292968750000e+03,1.029925022757437192e-01
2.471400146484375000e+03,1.142736753615771622e-01
2.471500244140625000e+03,1.258932326852366390e-01
2.471600341796875000e+03,1.388250476042322268e-01
2.471700195312500000e+03,1.551978139708871385e-01
2.471800292968750000e+03,1.734270070341264458e-01
2.471900146484375000e+03,1.981577608493688136e-01
2.472000244140625000e+03,2.235712752467749476e-01
2.472100097656250000e+03,2.562853520001660002e-01
2.472200195312500000e+03,2.972476507720817618e-01
2.472300292968750000e+03,3.510661646744235864e-01
2.472400146484375000e+03,4.187401137219090574e-01
2.472500244140625000e+03,5.106756381455856975e-01
2.472600097656250000e+03,6.342702847697588853e-01
2.472700195312500000e+03,8.026446917573308859e-01
2.472800292968750000e+03,1.031169079727597415e+00
2.472900146484375000e+03,1.316555638401420536e+00
2.473000244140625000e+03,1.644661661894786908e+00
2.473100097656250000e+03,1.978813417045289347e+00
2.473200195312500000e+03,2.273706759992903503e+00
2.473300292968750000e+03,2.509635956460521289e+00
2.473400146484375000e+03,2.706281662245166864e+00
2.473500244140625000e+03,2.900961048942312548e+00
2.473600097656250000e+03,3.142359726068392423e+00
2.473700195312500000e+03,3.452820211729316746e+00
2.473800048828125000e+03,3.816920303303633411e+00
2.473900146484375000e+03,4.175041825824529873e+00
2.474000244140625000e+03,4.465346164798985384e+00
2.474100097656250000e+03,4.614438721398959942e+00
2.474200195312500000e+03,4.591604494180497653e+00
2.474300292968750000e+03,4.393657198047978163e+00
2.474400146484375000e+03,4.054679254541468048e+00
2.474500244140625000e+03,3.633259068129982339e+00
2.474600341796875000e+03,3.178881690344070421e+00
2.474700195312500000e+03,2.747296791656447912e+00
2.474800292968750000e+03,2.368179261626347287e+00
2.474900146484375000e+03,2.061012400790037447e+00
2.475000244140625000e+03,1.829952534820856513e+00
2.475100097656250000e+03,1.668965476620876132e+00
2.475200195312500000e+03,1.558888666756419239e+00
2.475300292968750000e+03,1.487481381412468995e+00
2.475400146484375000e+03,1.435545882867462542e+00
