

biggs fits for each element
 PHOTO ELECTRIC COEFFICIENTS NOS.1 THROUGH 100 AS OF REPORT SC-RR-870070        
  UPDATED FEBRUARY 1987
  8  5  20.     100.   5.000E-01    3.774E-02 -1.559E+01  4.045E+03  1.810E+04  
  8  6  100.   500.    5.000E-01    3.169E-03 -1.146E+00  2.194E+03  9.131E+04
  8  7  500.  100000.  5.000E-01    1.367E-03  1.473E+00  7.214E+02  4.048E+05
  9  1   .01   .0724   4.737E-01    1.129E+04  0.         0.         0.
  9  2   .0724 .687    4.737E-01   -2.676E+02  4.767E+02  8.767E+01 -4.504E+00
  9  3   .687   4.     4.737E-01   -8.907E+01  6.850E+02  7.217E+03 -2.022E+03  
  9  4   4.    20.     4.737E-01    2.813E+00 -2.020E+02  9.903E+03 -4.454E+03  
  9  5   20.   100.    4.737E-01    6.097E-02 -2.435E+01  6.099E+03  2.258E+04  
  9  6   100.  500.    4.737E-01    4.857E-03 -1.805E+00  3.335E+03  1.285E+05
  9  7   500.  100000. 4.737E-01    2.041E-03  2.257E+00  1.084E+03  5.997E+05
 10  1  .01   .0183    4.956E-01    1.000E-06  0.         0.         0.         
 10  2  .0183 .045     4.956E-01    8.235E+03  0.         0.         0.
 10  3  .045  .124     4.956E-01   -6.059E+03  3.242E+03 -1.796E+02  3.141E+00 
 10  4  .124  .867     4.956E-01   -1.940E+02  4.340E+02  2.357E+02 -1.666E+01
 10  5  .867   4.      4.956E-01   -8.680E+01  7.434E+02  1.077E+04 -3.822E+03  
 10  6  4.    20.      4.956E-01    3.167E+00 -2.491E+02  1.439E+04 -8.187E+03  
 10  7  20.    100.    4.956E-01    1.288E-01 -4.471E+01  9.862E+03  2.497E+04  
 10  8  100.   500.    4.956E-01    5.202E-03  7.337E-02  4.614E+03  2.256E+05  
 10  9   500. 100000.  4.956E-01    3.087E-03  3.402E+00  1.569E+03  1.147E+06
 11  1  .01    .031    4.785E-01    5.429E+01  0.         0.         0.
 11  2  .031   .063    4.785E-01    8.874E+03  0.         0.         0.
 11  3  .063   1.073   4.785E-01   -5.565E+02  1.088E+03  1.062E+02 -6.845E+00 
 11  4  1.073   20.    4.785E-01    1.732E+00 -1.853E+02  1.712E+04 -8.415E+03  
 11  5   20.   100.    4.785E-01    2.726E-01 -8.218E+01  1.475E+04  9.467E+03  
 11  6   100.  500.    4.785E-01    2.083E-03  4.548E+00  5.521E+03  3.358E+05  
 11  7   500. 100000.  4.785E-01    4.199E-03  4.808E+00  1.793E+03  1.898E+06
 12  1  .01    .051    4.937E-01   -5.574E+02  8.687E+01 -1.493E+00  8.660E-03 
 12  2  .051  .123     4.937E-01   -2.726E+04  9.700E+03 -6.921E+02  1.445E+01
 12  3  .123  1.305    4.937E-01   -6.179E+02  1.379E+03  2.321E+02 -2.291E+01
 12  4  1.305   20.    4.937E-01   -6.648E-01 -1.084E+02  2.219E+04 -1.241E+04  
 12  5  20.    100.    4.937E-01    4.080E-01 -1.205E+02  2.139E+04 -1.143E+02  
 12  6   100.  500.    4.937E-01    8.338E-03  2.236E+00  8.819E+03  4.284E+05  
 12  7   500. 100000.  4.937E-01    6.233E-03  7.344E+00  2.662E+03  2.460E+06
 13  1   .01  .0159    4.818E-01   -1.654E+04  1.585E+02  3.907E+00 -3.383E-02
 13  2  .0159  .073    4.818E-01    1.122E+03 -4.015E+01  6.623E-01 -2.813E-03
 13  3   .073  .1177   4.818E-01    2.390E+04 -6.953E+02 -7.978E+01  1.974E+00
 13  4   .1177 1.560   4.818E-01   -5.284E+02  1.399E+03  4.360E+02 -4.747E+01  
 13  5   1.560  20.    4.818E-01   -3.674E+00 -1.622E+01  2.732E+04 -1.752E+04  
 13  6   20.   100.    4.818E-01    4.158E-01 -1.351E+02  2.716E+04  3.723E+02  
 13  7  100.  500.     4.818E-01    1.125E-02  2.747E+00  1.174E+04  5.695E+05  
 13  8  500.  100000.  4.818E-01    8.505E-03  1.049E+01  4.429E+03  2.431E+06
 14  1  .01    .0305   4.985E-01    4.575E+02  0.         0.         0.
 14  2  .0305  .099    4.985E-01   -1.168E+02  1.269E+02 -5.506E+00  6.616E-02
 14  3  .099   1.839   4.985E-01   -6.451E+02  1.836E+03  5.350E+02 -6.436E+01
 14  4  1.839  20.     4.985E-01   -4.056E+00 -1.089E+01  3.544E+04 -2.595E+04  
 14  5   20.   100.    4.985E-01    4.945E-01 -1.682E+02  3.627E+04 -1.605E+04  
 14  6   100.  500.    4.985E-01    2.716E-02 -5.428E+00  1.775E+04  6.765E+05  
 14  7   500. 100000.  4.985E-01    1.127E-02  1.376E+01  4.871E+03  4.477E+06
 15  1  .01    .0306   4.843E-01    4.728E+02  0.         0.         0.
 15  2  .0306  .132    4.843E-01   -2.227E+02  2.204E+02 -1.122E+01  1.569E-01
 15  3  .132   2.144   4.843E-01   -5.700E+02  1.909E+03  7.651E+02 -1.123E+02
 15  4   2.144  20.    4.843E-01   -6.098E+00  7.712E+01  4.196E+04 -3.437E+04  
 15  5   20.   100.    4.843E-01    5.710E-01 -2.001E+02  4.505E+04 -3.853E+04  
 15  6   100.  500.    4.843E-01    3.613E-02 -8.426E+00  2.277E+04  8.080E+05  
 15  7  500.  100000.  4.843E-01    1.421E-02  1.770E+01  6.221E+03  5.554E+06
 16  1   .01   .0341   4.991E-01    5.368E+02  0.         0.         0.
 16  2  .0341  .165    4.991E-01   -2.097E+02  3.174E+02 -1.815E+01  2.796E-01
 16  3  .165   2.472   4.991E-01   -4.885E+02  1.976E+03  1.206E+03 -1.934E+02
 16  4  2.472  20.     4.991E-01   -1.021E+01  2.346E+02  5.164E+04 -4.707E+04  
 16  5   20.   100.    4.991E-01    7.467E-01 -2.534E+02  5.800E+04 -6.691E+04  
