Energy	TEY
291.275	2.59681
291.3	2.62619
291.325	2.63514
291.35	2.63759
291.375	2.65061
291.4	2.64083
291.425	2.6585
291.45	2.65252
291.475	2.64647
291.5	2.66181
291.75	2.71627
292	2.79627
292.25	2.87851
292.5	2.90671
292.75	2.92216
293	2.95902
293.25	2.93036
293.5	2.93815
293.75	2.91298
294	2.89059
294.25	2.84575
294.5	2.81
294.75	2.78801
295	2.76773
295.25	2.75606
295.5	2.7296
295.75	2.7221
296	2.71221
296.25	2.69823
296.5	2.69187
296.75	2.68501
297	2.6584
297.25	2.66724
297.5	2.6503
297.75	2.62951
298	2.61937
298.25	2.62385
298.5	2.61189
298.75	2.5995
299	2.58171
299.25	2.57702
299.5	2.56215
299.75	2.55946
300	2.54064
300.5	2.52309
301	2.47193
301.5	2.45751
302	2.42481
302.5	2.37757
303	2.34118
303.5	2.30492
304	2.2543
304.5	2.19738
305	2.12512
305.5	2.07143
306	2.02011
306.5	1.96252
307	1.90753
307.5	1.86444
308	1.81432
308.5	1.79212
309	1.74507
309.5	1.7017
310	1.67386
310.5	1.64498
311	1.61174
311.5	1.58511
312	1.56456
312.5	1.54871
313	1.52993
313.5	1.50959
314	1.49724
314.5	1.47458
315	1.46708
315.5	1.45568
316	1.44085
316.5	1.42522
317	1.41802
317.5	1.40252
318	1.40577
318.5	1.3959
319	1.37637
319.5	1.37416
320	1.38131
320.5	1.37477
321	1.36378
321.5	1.35104
322	1.34416
322.5	1.34231
323	1.32594
323.5	1.33121
324	1.32233
324.5	1.31846
325	1.30902
325.5	1.31186
326	1.29572
326.5	1.28496
327	1.27211
327.5	1.2626
328	1.2704
328.5	1.26075
329	1.25197
329.5	1.22956
330	1.23435
332	1.19251
334	1.1629
336	1.12733
338	1.10143
340	1.08072
342	1.06175
344	1.03996
346	1.02281
348	1.01326
350	1
352	0.987653
354	0.971735
356	0.961795
358	0.948135
360	0.931346
362	0.928929
364	0.907704
366	0.895604
368	0.879515
370	0.859956
372	0.851721
374	0.838809
376	0.828447
378	0.807605
380	0.792891
382	0.77547
384	0.766423
386	0.755304
388	0.742846
