#********************  Core Scattering Data  ********************
#******************  B. Watts & H. Ade et al.  ******************
#
#Acronym:	P3HT
#Name:		Regioregular Poly(3-hexylthiophene-2,5-diyl)
#Formula:	C10SH14
#Formula Mass:	166.284160
#Reference:	J. Chem. Phys. 134, 024702 (2011); doi:10.1063/1.3506636
#Source:	Merck KGaA
#Acquisition:	TEY (drain current) NEXAFS
#Abs. Edge (Resolution):	C-K (50 meV)
#Incidence Angle:	50°
#Write Date:	2011-02-22
#----------------------------------------------------------------
#Energy (eV)	f1	f2
#----------------------------------------------------------------
118.331000	58.766320	7.059828
120.245000	58.632660	6.940483
122.190000	58.487990	6.823344
124.166000	58.331530	6.708364
126.175000	58.162060	6.595299
128.215000	57.978510	6.484286
130.289000	57.779470	6.375309
132.397000	57.567330	6.268239
134.538000	57.332930	6.149832
136.714000	57.065620	6.033428
138.925000	56.765830	5.919373
141.172000	56.428400	5.807614
143.456000	56.045700	5.698128
145.776000	55.606830	5.590856
148.134000	55.095080	5.486299
150.530000	54.485150	5.384786
152.964000	53.733890	5.286478
155.439000	52.755020	5.190171
157.953000	51.345100	5.095817
160.507000	48.756200	5.003372
162.400000	39.109110	4.937307
162.600000	39.106330	14.543760
163.103000	45.020670	14.523520
165.742000	50.100120	14.420830
168.422000	51.856980	14.319920
171.146000	52.918780	14.220720
173.915000	53.664160	14.123210
176.727000	54.225300	14.027460
179.586000	54.666450	13.933320
182.491000	55.024880	13.838380
185.442000	55.322470	13.732880
188.442000	55.556170	13.602540
191.489000	55.725500	13.469390
194.587000	55.839090	13.326920
197.734000	55.896470	13.183680
200.932000	55.901000	13.040070
204.182000	55.853070	12.899140
207.485000	55.752210	12.760780
210.840000	55.577750	12.625060
214.251000	55.354690	12.543140
217.716000	55.103410	12.474400
221.237000	54.813930	12.418460
224.816000	54.482500	12.368350
228.452000	54.099620	12.319970
232.147000	53.654360	12.273220
235.902000	53.135270	12.227970
239.717000	52.528460	12.184260
243.595000	51.817200	12.142020
247.535000	50.980040	12.096160
251.538000	49.970870	12.033200
255.607000	48.731140	11.972990
259.741000	47.195210	11.915610
260.000000	47.087710	11.912230
260.300000	46.961400	11.908320
260.600000	46.833070	11.904410
260.900000	46.702660	11.900510
261.200000	46.570110	11.896600
261.500000	46.435360	11.892690
261.800000	46.298350	11.888780
262.100000	46.159020	11.884870
262.400000	46.017310	11.880960
262.700000	45.873150	11.877050
263.000000	45.726460	11.873140
263.300000	45.577170	11.869230
263.600000	45.425200	11.865320
263.900000	45.270400	11.861420
264.200000	45.112780	11.857710
264.500000	44.952380	11.854050
264.800000	44.789060	11.850380
265.100000	44.622700	11.846710
265.400000	44.453220	11.843040
265.700000	44.280490	11.839380
266.000000	44.104430	11.835710
266.300000	43.924920	11.832040
266.600000	43.741850	11.828370
266.900000	43.555100	11.824700
267.200000	43.364550	11.821040
267.500000	43.170050	11.817370
267.800000	42.971470	11.813700
268.100000	42.768620	11.810030
268.400000	42.561380	11.806510
268.700000	42.349720	11.803080
269.000000	42.133470	11.799650
269.300000	41.912430	11.796210
269.600000	41.686400	11.792780
269.900000	41.455200	11.789340
270.200000	41.218620	11.785910
270.500000	40.976450	11.782480
270.800000	40.728480	11.779040
271.100000	40.474480	11.775610
271.400000	40.214230	11.772180
271.700000	39.947490	11.768740
272.000000	39.674070	11.765310
272.300000	39.393930	11.761870
272.600000	39.107310	11.757910
272.900000	38.812500	11.751350
273.200000	38.507760	11.744790
273.500000	38.193710	11.738230
273.800000	37.870010	11.731670
274.100000	37.536250	11.725100
274.400000	37.191960	11.718540
274.700000	36.836600	11.711980
275.000000	36.469600	11.705420
275.300000	36.090300	11.698860
275.600000	35.698010	11.692300
275.900000	35.291980	11.685740
276.200000	34.871390	11.679180
276.500000	34.435390	11.672620
276.800000	33.983480	11.666060
277.100000	33.514350	11.658000
277.400000	33.025110	11.648290
277.700000	32.513940	11.638580
278.000000	31.979880	11.628880
278.300000	31.421150	11.619170
278.600000	30.835700	11.609460
278.900000	30.221150	11.599760
279.200000	29.574680	11.590050
279.500000	28.892930	11.580340
279.800000	28.171650	11.570640
280.100000	27.397890	11.560930
280.400000	26.603710	11.593670
280.700000	25.763300	11.544250
281.000000	24.824490	11.528900
281.300000	23.823060	11.519940
281.600000	22.721290	11.499900
281.900000	21.534170	11.549650
282.200000	20.281590	11.565960
282.500000	18.872300	11.542180
282.800000	17.265880	11.536850
283.000000	16.074890	11.530900
283.012000	16.000980	11.529590
283.025000	15.920620	11.527930
283.038000	15.841530	11.525850
283.050000	15.769330	11.519040
283.063000	15.686110	11.506810
283.075000	15.602420	11.494630
283.087000	15.511650	11.485020
283.100000	15.408220	11.481430
283.113000	15.301530	11.491030
283.125000	15.224450	11.516730
283.137000	15.152480	11.514710
283.150000	15.065570	11.513960
283.163000	14.987560	11.520530
283.175000	14.902810	11.487480
283.188000	14.792460	11.489990
283.200000	14.695490	11.494380
283.212000	14.604220	11.509760
283.225000	14.514520	11.519160
283.238000	14.431580	11.527920
283.250000	14.350420	11.517500
283.262000	14.262880	11.515960
283.275000	14.162310	11.504050
283.288000	14.051930	11.503390
283.300000	13.960380	11.521100
283.313000	13.860580	11.510800
283.325000	13.766550	11.525010
283.337000	13.669040	11.514070
283.350000	13.558140	11.538930
283.363000	13.470660	11.550530
283.375000	13.383400	11.548730
283.387000	13.296530	11.555500
283.400000	13.212030	11.550570
283.413000	13.095560	11.509870
283.425000	12.990350	11.537750
283.438000	12.875120	11.504830
283.450000	12.760320	11.537540
283.462000	12.676920	11.543670
283.475000	12.570230	11.517570
283.488000	12.432040	11.510260
283.500000	12.325600	11.548630
283.512000	12.240010	11.539470
283.525000	12.107260	11.512640
283.538000	11.978990	11.544660
283.550000	11.876560	11.544620
283.563000	11.762420	11.547720
283.575000	11.632210	11.519510
283.587000	11.501380	11.569720
283.600000	11.405110	11.583110
283.613000	11.288320	11.564690
283.625000	11.158090	11.562470
283.637000	11.041870	11.589850
283.650000	10.926140	11.583860
283.663000	10.796190	11.577840
283.675000	10.662000	11.570080
283.688000	10.524890	11.592730
283.700000	10.400340	11.582580
283.712000	10.260630	11.588020
283.725000	10.113550	11.603340
283.738000	9.966870	11.614200
283.750000	9.831700	11.634870
283.762000	9.701538	11.651600
283.775000	9.564831	11.673620
283.788000	9.440024	11.687830
283.800000	9.311394	11.675300
283.813000	9.165346	11.684640
283.825000	9.034099	11.672730
283.837000	8.875430	11.655110
283.850000	8.699101	11.668890
283.863000	8.533907	11.676090
283.875000	8.364857	11.671810
283.887000	8.195496	11.706090
283.900000	8.020205	11.715490
283.913000	7.841325	11.750760
283.925000	7.687511	11.767230
283.938000	7.503784	11.777450
283.950000	7.336153	11.812840
283.962000	7.182813	11.825800
283.975000	6.984841	11.818470
283.988000	6.788502	11.865790
284.000000	6.603815	11.861470
284.012000	6.416734	11.913010
284.025000	6.220879	11.916550
284.038000	5.988278	11.936560
284.050000	5.792138	12.000080
284.063000	5.591021	12.020600
284.075000	5.384934	12.050250
284.087000	5.192015	12.086800
284.100000	4.962031	12.091240
284.113000	4.696669	12.119500
284.125000	4.470798	12.174590
284.137000	4.219835	12.182120
284.150000	3.941066	12.279640
284.163000	3.671040	12.309040
284.175000	3.389819	12.395020
284.188000	3.145894	12.487800
